nta,violation_count,violation_lead,violation_mold,violation_pests,violation_heat,violation_health_total,violation_severity_score,violation_class_A,violation_class_B,violation_class_C,violation_class_I,complaint_count,problem_count,complaint_heat,complaint_mold,complaint_pests,complaint_lead,complaint_water,complaint_health_total,complaint_severity_score,nta_code,borough,building_count,violation_per_bldg,violation_health_per_bldg,complaint_per_bldg,complaint_health_per_bldg,violation_per_bldg_pctl,complaint_per_bldg_pctl,violation_health_per_bldg_pctl,complaint_health_per_bldg_pctl,asthma_rate_per_10k,lead_rate_per_1k,asthma_pctl,lead_pctl,total_units,pct_pre_1950,pct_pre_1978,avg_building_age,median_year_built,median_income,pct_white,pct_black,pct_hispanic,building_age_score,income_adjustment,complaint_health_adjusted,complaints_score_adjusted,asthma_match,asthma_match_score,lead_match,lead_match_score,violations_score,complaints_score,asthma_score,lead_score,housing_health_index,risk_tier,index_rank
Norwood,58928.0,3815.0,3459.0,12377.0,3024.0,19196.0,124186.0,12084.0,26466.0,19396.0,982.0,32292.0,50528.0,20866.0,2236.0,4063.0,4879.0,27477.0,38655.0,50528.0,BX0703,Bronx,517.0,113.98065764023212,37.129593810444874,62.460348162475825,74.7678916827853,91.0891089108911,95.04950495049503,92.07920792079209,94.55445544554456,599.7114785992217,16.6,96.4467005076142,76.75438596491229,15140.0,88.0,92.6,93.602,1926.0,48475.0,17.850477002349553,34.07937071923219,56.382618660742,82.91457286432161,0.8450025656272843,88.48244339623,95.0,Norwood,1.0,Norwood,1.0,92.07920792079209,95.0,96.44670050761421,76.75438596491229,90.46771765892946,Very High Risk,1
Fordham Heights,67483.0,3507.0,4093.0,13390.0,3538.0,20960.0,144635.0,12646.0,31358.0,22897.0,582.0,37738.0,61729.0,25619.0,3106.0,4382.0,6139.0,33612.0,47239.0,61729.0,BX0503,Bronx,385.0,175.28051948051947,54.44155844155844,98.02077922077922,122.6987012987013,99.009900990099,99.009900990099,99.009900990099,99.009900990099,495.0298701298702,14.9,90.35532994923858,67.32456140350878,10918.0,88.12664907651715,89.9736147757256,95.4353562005277,1923.0,48475.0,17.850477002349553,34.07937071923219,56.382618660742,71.85929648241206,0.8450025656272843,145.20512278872954,99.0,Fordham South,1.0,Fordham South,1.0,99.00990099009901,99.0,90.35532994923858,67.32456140350878,89.80865014564495,High Risk,2
Mount Hope,94363.0,5010.0,5569.0,20288.0,4963.0,30815.0,201509.0,17955.0,42746.0,32200.0,1462.0,37339.0,64836.0,20958.0,3440.0,6417.0,6775.0,31319.0,47951.0,64836.0,BX0502,Bronx,654.0,144.28593272171253,47.1177370030581,57.09327217125382,73.31957186544342,98.01980198019804,92.57425742574256,98.51485148514853,93.56435643564356,631.3802487198245,15.4,97.46192893401016,72.80701754385966,18463.0,82.53205128205127,85.8974358974359,93.24839743589745,1922.0,48475.0,17.850477002349553,34.07937071923219,56.382618660742,57.78894472361809,0.8450025656272843,86.76846065078504,94.5,Mount Hope,1.0,Mount Hope,1.0,98.51485148514851,94.5,97.46192893401016,72.80701754385966,89.37178833628734,High Risk,3
Concourse-Concourse Village,118505.0,5848.0,6554.0,25394.0,6106.0,38083.0,250850.0,23903.0,53171.0,39587.0,1844.0,50739.0,87502.0,29554.0,4223.0,8865.0,8865.0,42831.0,64784.0,87502.0,BX0401,Bronx,844.0,140.40876777251185,45.122037914691944,60.117298578199055,76.75829383886256,96.53465346534654,94.55445544554456,97.02970297029702,95.04950495049503,637.5326073428749,13.7,97.96954314720811,56.57894736842105,25282.0,83.97590361445783,85.54216867469879,91.40963855421688,1927.0,48475.0,17.850477002349553,34.07937071923219,56.382618660742,56.78391959798995,0.8450025656272843,90.83794175450976,95.5,East Concourse-Concourse Village,1.0,East Concourse-Concourse Village,1.0,97.02970297029702,95.5,97.96954314720813,56.57894736842105,86.74305358559289,High Risk,4
Bedford Park,78752.0,5359.0,4121.0,17592.0,4320.0,26351.0,165785.0,16499.0,34379.0,26327.0,1547.0,41170.0,66434.0,24374.0,2910.0,5766.0,6602.0,34384.0,49662.0,66434.0,BX0702,Bronx,777.0,101.35392535392536,33.91377091377091,52.985842985842986,63.915057915057915,90.0990099009901,91.5841584158416,90.5940594059406,91.5841584158416,538.0893187552565,17.9,91.87817258883248,81.14035087719299,22429.0,80.60686015831135,86.14775725593667,89.4802110817942,1925.0,48475.0,17.850477002349553,34.07937071923219,56.382618660742,58.79396984924623,0.8450025656272843,75.6388921347367,92.5,Bedford Park-Fordham North,0.75,Bedford Park-Fordham North,0.75,90.5940594059406,92.5,91.87817258883248,81.14035087719299,86.72930195605225,High Risk,5
Parkchester,17129.0,1349.0,1334.0,3188.0,868.0,5908.0,34926.0,3877.0,7745.0,5026.0,481.0,16932.0,21586.0,12001.0,987.0,1136.0,2054.0,14874.0,19051.0,21586.0,BX0904,Bronx,143.0,119.7832167832168,41.31468531468531,118.4055944055944,133.2237762237762,92.57425742574256,99.5049504950495,94.55445544554456,99.5049504950495,360.5360230547551,19.3,77.15736040609137,86.8421052631579,1623.0,77.03703703703704,80.0,85.43703703703704,1928.0,48475.0,17.850477002349553,34.07937071923219,56.382618660742,41.20603015075377,0.8450025656272843,157.6607949407563,99.5,Parkchester,1.0,Parkchester,1.0,94.55445544554455,99.5,77.15736040609137,86.8421052631579,85.8197275194307,High Risk,6
Flatbush,141596.0,7850.0,7805.0,29702.0,6210.0,43325.0,295354.0,30112.0,65378.0,44190.0,1916.0,49585.0,86418.0,26678.0,4150.0,9243.0,9173.0,40561.0,63127.0,86418.0,BK1401,Brooklyn,1037.0,136.54387656702025,41.77917068466731,47.81581485053037,60.87463837994214,96.03960396039604,90.5940594059406,95.04950495049503,90.5940594059406,190.3482479784367,32.8,55.0761421319797,96.71052631578948,24941.0,87.89370078740157,93.30708661417324,93.09350393700788,1930.5,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,85.92964824120602,0.9665983064861458,62.97821749888888,90.0,Flatbush,1.0,Flatbush,1.0,95.04950495049505,90.0,55.0761421319797,96.71052631578947,85.12962368303347,High Risk,7
Kingsbridge-Marble Hill,22645.0,1453.0,1011.0,3979.0,1292.0,6506.0,47596.0,4458.0,10721.0,7115.0,351.0,13943.0,20320.0,9397.0,791.0,1202.0,1862.0,11940.0,15795.0,20320.0,BX0802,Bronx,169.0,133.9940828402367,38.49704142011834,82.50295857988165,93.46153846153848,94.55445544554456,97.02970297029702,92.57425742574256,97.52475247524752,403.3343936381709,15.5,82.48730964467005,73.68421052631578,7176.0,71.42857142857143,83.33333333333334,80.76190476190476,1928.5,48475.0,17.850477002349553,34.07937071923219,56.382618660742,47.98994974874372,0.8450025656272843,110.60503513638172,98.0,Kingsbridge Heights,1.0,Kingsbridge Heights,1.0,92.57425742574257,98.0,82.48730964467005,73.68421052631578,84.62136571047853,High Risk,8
Kingsbridge Heights-Van Cortlandt Village,42308.0,2086.0,2244.0,8235.0,2583.0,12988.0,89620.0,8251.0,19186.0,14063.0,808.0,23253.0,35910.0,14778.0,1590.0,2655.0,3269.0,19943.0,27457.0,35910.0,BX0801,Bronx,393.0,107.65394402035624,33.04834605597964,59.16793893129771,69.86513994910942,90.5940594059406,93.56435643564356,90.0990099009901,92.07920792079209,403.3343936381709,15.5,82.48730964467005,73.68421052631578,12557.0,76.15384615384615,85.64102564102564,85.25128205128205,1928.0,48475.0,17.850477002349553,34.07937071923219,56.382618660742,57.286432160804026,0.8450025656272843,82.680387955089,93.5,Kingsbridge Heights,1.0,Kingsbridge Heights,1.0,90.0990099009901,93.5,82.48730964467005,73.68421052631578,83.68343969425881,High Risk,9
Manhattanville-West Harlem,37260.0,1575.0,1866.0,7308.0,2208.0,11224.0,78361.0,7518.0,17657.0,11722.0,363.0,15440.0,26415.0,8353.0,1224.0,2671.0,2620.0,12581.0,19096.0,26415.0,MN0902,Manhattan,259.0,143.8610038610039,43.335907335907336,59.61389961389961,73.72972972972973,97.52475247524752,94.05940594059405,96.03960396039604,94.05940594059405,335.1798418972332,12.9,76.14213197969542,50.877192982456144,6239.0,94.84126984126983,94.84126984126983,110.30555555555556,1906.0,112969.0,51.369159385915786,13.978187639011406,26.08064400025865,89.44723618090453,1.089156951198049,67.69431131906988,91.0,Manhattanville,1.0,Manhattanville,1.0,96.03960396039604,91.0,76.14213197969542,50.877192982456144,83.36661014951677,High Risk,10
